case_label,debris_total_number,x_index,x_over_L,mean_pressure
N=6000,6000,51,0.2861111111111111,0.7216426283289976
N=6000,6000,52,0.2916666666666667,0.7160447283536012
N=6000,6000,53,0.2972222222222222,0.7094881925217866
N=6000,6000,54,0.30277777777777776,0.7033653362964233
N=6000,6000,55,0.30833333333333335,0.6975055265044394
N=6000,6000,56,0.3138888888888889,0.69221499645914
N=6000,6000,57,0.3194444444444444,0.6865234153987324
N=6000,6000,58,0.325,0.6800925569755114
N=6000,6000,59,0.33055555555555555,0.6730868307190219
N=6000,6000,60,0.33611111111111114,0.6684825382551428
N=6000,6000,61,0.3416666666666667,0.662654649521688
N=6000,6000,62,0.3472222222222222,0.656506464196473
N=6000,6000,63,0.3527777777777778,0.6507680201754521
N=6000,6000,64,0.35833333333333334,0.6447107471422716
N=6000,6000,65,0.3638888888888889,0.6381349905176025
N=6000,6000,66,0.36944444444444446,0.6321601590906349
N=6000,6000,67,0.375,0.6264954452214659
N=6000,6000,68,0.38055555555555554,0.6202409890681091
N=6000,6000,69,0.3861111111111111,0.6139532442561598
N=6000,6000,70,0.39166666666666666,0.6082181211219716
N=6000,6000,71,0.3972222222222222,0.6023438961641824
N=6000,6000,72,0.4027777777777778,0.5968801826371496
N=6000,6000,73,0.4083333333333333,0.5907375907810464
N=6000,6000,74,0.41388888888888886,0.5852527305471984
N=6000,6000,75,0.41944444444444445,0.579688714915739
N=6000,6000,76,0.425,0.5737182849191025
N=6000,6000,77,0.4305555555555556,0.5679609342060624
N=6000,6000,78,0.4361111111111111,0.5619968893486345
N=6000,6000,79,0.44166666666666665,0.5560334741011197
N=6000,6000,80,0.44722222222222224,0.5504236046923285
N=6000,6000,81,0.4527777777777778,0.5444979754545687
N=6000,6000,82,0.4583333333333333,0.5388891266806413
N=6000,6000,83,0.4638888888888889,0.5337533906915493
N=6000,6000,84,0.46944444444444444,0.528173993328
N=6000,6000,85,0.475,0.5223173393462712
N=6000,6000,86,0.48055555555555557,0.5165692780294122
N=6000,6000,87,0.4861111111111111,0.5099818111881748
N=6000,6000,88,0.49166666666666664,0.5045898597644345
N=6000,6000,89,0.49722222222222223,0.49818911400506927
N=6000,6000,90,0.5027777777777778,0.49153903675387856
N=6000,6000,91,0.5083333333333333,0.4851605545354571
N=6000,6000,92,0.5138888888888888,0.4789919953559659
N=6000,6000,93,0.5194444444444445,0.4731136091425185
N=6000,6000,94,0.525,0.467225665030361
N=6000,6000,95,0.5305555555555556,0.4615083534131538
N=6000,6000,96,0.5361111111111111,0.4558588225026682
N=6000,6000,97,0.5416666666666666,0.45050553619775335
N=6000,6000,98,0.5472222222222223,0.44564771045917956
N=6000,6000,99,0.5527777777777778,0.44067549029425757
N=6000,6000,100,0.5583333333333333,0.43470165954141676
N=6000,6000,101,0.5638888888888889,0.42902481271101595
N=6000,6000,102,0.5694444444444444,0.4236530073820236
N=6000,6000,103,0.575,0.4177112535990785
N=6000,6000,104,0.5805555555555556,0.4114661957140776
N=6000,6000,105,0.5861111111111111,0.40505813385496936
N=6000,6000,106,0.5916666666666667,0.3988114565588722
N=6000,6000,107,0.5972222222222222,0.3931936771319766
N=6000,6000,108,0.6027777777777777,0.3876014964545889
N=6000,6000,109,0.6083333333333333,0.381286134649488
N=6000,6000,110,0.6138888888888889,0.3751870833358616
N=6000,6000,111,0.6194444444444445,0.36890593120781945
N=6000,6000,112,0.625,0.3632992904787176
N=6000,6000,113,0.6305555555555555,0.35676214671691736
N=6000,6000,114,0.6361111111111111,0.350664700942697
N=6000,6000,115,0.6416666666666667,0.34473200363441175
N=6000,6000,116,0.6472222222222223,0.3394604795240816
N=6000,6000,117,0.6527777777777778,0.33456309339494456
N=6000,6000,118,0.6583333333333333,0.3286498164094373
N=6000,6000,119,0.6638888888888889,0.3226619049213519
N=6000,6000,120,0.6694444444444444,0.31728646370020425
N=6000,6000,121,0.675,0.3114717679958562
N=6000,6000,122,0.6805555555555556,0.30605266726075575
N=6000,6000,123,0.6861111111111111,0.29981495028812366
N=6000,6000,124,0.6916666666666667,0.2934409073603119
N=6000,6000,125,0.6972222222222222,0.2878955207905288
N=6000,6000,126,0.7027777777777777,0.28178918855835144
N=6000,6000,127,0.7083333333333334,0.2763302883509075
N=6000,6000,128,0.7138888888888889,0.2704117622317761
N=6000,6000,129,0.7194444444444444,0.2644540581209566
N=6000,6000,130,0.725,0.25857566895634304
N=6000,6000,131,0.7305555555555555,0.25328027769123646
N=6000,6000,132,0.7361111111111112,0.2473320831095756
N=6000,6000,133,0.7416666666666667,0.24179651550650752
N=6000,6000,134,0.7472222222222222,0.23597491477864158
N=6000,6000,135,0.7527777777777778,0.22955382232800156
N=6000,6000,136,0.7583333333333333,0.22373305908255514
N=6000,6000,137,0.7638888888888888,0.2182116027955052
N=6000,6000,138,0.7694444444444445,0.2127313836011551
N=6000,6000,139,0.775,0.20709162349354476
N=6000,6000,140,0.7805555555555556,0.20183628330559375
N=6000,6000,141,0.7861111111111111,0.19710811466992895
N=6000,6000,142,0.7916666666666666,0.1924114599532232
N=6000,6000,143,0.7972222222222223,0.1875461380886026
N=6000,6000,144,0.8027777777777778,0.18188257684728823
N=6000,6000,145,0.8083333333333333,0.1756397346492021
N=6000,6000,146,0.8138888888888889,0.1707024436610696
N=6000,6000,147,0.8194444444444444,0.1653243398438801
N=6000,6000,148,0.825,0.1587742549554094
N=6000,6000,149,0.8305555555555556,0.15380741732860165
N=6000,6000,150,0.8361111111111111,0.14817332167106276
N=6000,6000,151,0.8416666666666667,0.1431594529978214
N=6000,6000,152,0.8472222222222222,0.13753157214205092
N=6000,6000,153,0.8527777777777777,0.13137114587856674
N=6000,6000,154,0.8583333333333333,0.12560966618969993
N=6000,6000,155,0.8638888888888889,0.12043870233759356
N=6000,6000,156,0.8694444444444445,0.1155423996089613
N=6000,6000,157,0.875,0.10972309915038425
N=6000,6000,158,0.8805555555555555,0.10375650118325305
