timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
15100000,15.1,4104,1.0,0,0.0,0,0.011540389694688109,0.01040008,0.01183995,0.012347470000000001,-9.669882876838938e-05
15200000,15.2,4104,1.0,0,0.0,0,0.011537466082846004,0.01040008,0.011839450000000001,0.0123472,-2.1374927371174464e-05
15300000,15.299999999999999,4104,1.0,0,0.0,0,0.011540141713937623,0.01040228,0.01184025,0.01234668,4.998427063230994e-05
15400000,15.399999999999999,4104,1.0,0,0.0,0,0.011538696575048732,0.01040008,0.0118397,0.01234717,2.5751168232258773e-05
15500000,15.5,4104,1.0,0,0.0,0,0.011539649355019494,0.01040008,0.01183945,0.0123471,1.580600243211501e-05
15600000,15.6,4104,1.0,0,0.0,0,0.011541055326998052,0.01040008,0.0118394,0.01234707,-5.8823226751072125e-05
15700000,15.7,4104,1.0,0,0.0,0,0.011538624782651071,0.01040008,0.011839849999999999,0.01234618,0.0001704763832873294
15800000,15.799999999999999,4104,1.0,0,0.0,0,0.011538582543128655,0.01040057,0.01183965,0.012346910000000001,-0.00034780469261335524
15900000,15.899999999999999,4104,1.0,0,0.0,0,0.01159341091423002,0.01040008,0.011843,0.01235521,-0.0014692497140021687
16000000,16.0,4104,1.0,0,0.0,0,0.01157687669322612,0.01040008,0.01184405,0.01235451,9.73132068276682e-05
16100000,16.099999999999998,4104,1.0,0,0.0,0,0.011560921932261208,0.01040008,0.01184415,0.01235427,0.00032387803189977096
16200000,16.2,4104,1.0,0,0.0,0,0.011559170783625733,0.01040008,0.0118441,0.0123544,0.00035747149420730994
16300000,16.3,4104,1.0,0,0.0,0,0.011543271985867446,0.01040008,0.01184365,0.01235434,0.00027780058838942977
16400000,16.4,4104,1.0,0,0.0,0,0.011538175089668616,0.01040008,0.0118442,0.0123523,-1.282340667371345e-05
16500000,16.5,4104,1.0,0,0.0,0,0.011538280549220273,0.01040008,0.0118443,0.01235256,-5.128929424802632e-05
16600000,16.599999999999998,4104,1.0,0,0.0,0,0.011538082998781675,0.01040008,0.011844299999999999,0.01235295,-7.833836677295322e-05
16700000,16.7,4104,1.0,0,0.0,0,0.011538174786306043,0.01040008,0.011843699999999999,0.01235307,-3.1875065235007306e-05
16800000,16.8,4104,1.0,0,0.0,0,0.011538073493908382,0.01040228,0.01184415,0.01235266,1.0267309198579436e-05
16900000,16.9,4104,1.0,0,0.0,0,0.011537152620370372,0.01040008,0.0118427,0.01235265,4.10742965465887e-05
17000000,17.0,4104,1.0,0,0.0,0,0.011537137412280704,0.01040228,0.0118427,0.012351780000000001,-7.1175030876462e-06
17100000,17.099999999999998,4104,1.0,0,0.0,0,0.011549571346003897,0.01040008,0.011840549999999998,0.01235392,0.0003728298195763767
17200000,17.2,4104,1.0,0,0.0,0,0.011543660292884991,0.01040228,0.0118422,0.01235337,-0.000515587525813572
17300000,17.3,4104,1.0,0,0.0,0,0.011577764788011695,0.01040225,0.01184065,0.01235714,-0.0008419358110965474
17400000,17.4,4104,1.0,0,0.0,0,0.011581604361598441,0.01040008,0.0118399,0.012359160000000001,0.0003402148633987085
17500000,17.5,4104,1.0,0,0.0,0,0.011573368248781676,0.01040295,0.01184035,0.01235794,0.0003519591662128899
17600000,17.599999999999998,4104,1.0,0,0.0,0,0.01155481675682261,0.01040008,0.01183895,0.01235721,-0.0006971900770282408
17700000,17.7,4104,1.0,0,0.0,0,0.011587569889132553,0.01040008,0.0118399,0.0123615,0.0001939198766891642
17800000,17.8,4104,1.0,0,0.0,0,0.011559613498781677,0.01040008,0.0118397,0.01235664,0.0003936948501720274
17900000,17.9,4104,1.0,0,0.0,0,0.011555171023635477,0.01040242,0.011840650000000001,0.01236077,-0.00033281202241593563
18000000,18.0,4104,1.0,0,0.0,0,0.011547294487816766,0.01040008,0.01184,0.01236078,0.000220864318607941
18100000,18.099999999999998,4104,1.0,0,0.0,0,0.011541528088693957,0.01040547,0.01183865,0.012356919999999999,-6.93084238094152e-05
18200000,18.2,4104,1.0,0,0.0,0,0.011541954328216374,0.01040225,0.0118397,0.012355940000000001,-1.5052444311069693e-05
18300000,18.3,4104,1.0,0,0.0,0,0.011544801672514619,0.01040008,0.01183995,0.01235607,7.857640041810427e-05
18400000,18.4,4104,1.0,0,0.0,0,0.01154752332334308,0.01040008,0.011839849999999999,0.01235698,4.803429364707603e-05
18500000,18.5,4104,1.0,0,0.0,0,0.01154452295808967,0.01040607,0.0118401,0.0123572,0.00023482923919982212
18600000,18.599999999999998,4104,1.0,0,0.0,0,0.01155541367714425,0.010407010000000001,0.01183955,0.01235698,-0.00028476399586330414
18700000,18.7,4104,1.0,0,0.0,0,0.011551451378411307,0.01040228,0.011839450000000001,0.0123573,0.00031573826171744647
18800000,18.8,4104,1.0,0,0.0,0,0.011545286823586744,0.0104053,0.01183955,0.01235661,-0.0006263973642747564
18900000,18.9,4104,1.0,0,0.0,0,0.011547729758528264,0.01040372,0.01183955,0.0123549,-8.810238795031334e-05
19000000,19.0,4104,1.0,0,0.0,0,0.011540911180311891,0.01040228,0.01183975,0.01235413,0.00022305626961169832
19100000,19.099999999999998,4104,1.0,0,0.0,0,0.011541423934454191,0.01040228,0.011840400000000001,0.01235218,-0.00015636495058045808
19200000,19.2,4104,1.0,0,0.0,0,0.011549823110380115,0.01040537,0.0118399,0.012354750000000001,0.00015148045867841134
19300000,19.3,4104,1.0,0,0.0,0,0.011546273314571151,0.01040228,0.0118399,0.01235364,0.0002827849373
19400000,19.4,4104,1.0,0,0.0,0,0.011540570681773879,0.01040228,0.01183975,0.01235356,-5.976847264863549e-06
19500000,19.5,4104,1.0,0,0.0,0,0.011539789701267057,0.01040225,0.0118384,0.01235315,5.737894745109892e-05
19600000,19.599999999999998,4104,1.0,0,0.0,0,0.011547526750730994,0.0104005,0.0118387,0.0123542,0.00018279614450667642
19700000,19.7,4104,1.0,0,0.0,0,0.011544140097709552,0.01040228,0.0118388,0.01235428,4.2839088713961986e-05
19800000,19.8,4104,1.0,0,0.0,0,0.011538013779239766,0.01040008,0.0118387,0.01235282,0.00013056848495265595
19900000,19.9,4104,1.0,0,0.0,0,0.011537860315302144,0.01040008,0.0118383,0.01234997,-0.0002744945237391764
20000000,20.0,4104,1.0,0,0.0,0,0.011547604151803118,0.01039701,0.01183825,0.01235273,-0.00031735175589561406
